Player,Team,Position,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
Cedric Coward,EWASH,SG,32,30.5,15.4,5.7,10.1,0.565,1.6,4.2,0.383,2.4,2.7,0.895,1.5,5.2,6.7,1.7,1,0.9,2.2,2,
Dionte Bostick,CSUN,SG,34,33.8,15.4,5.8,12.9,0.445,1.4,4.2,0.343,2.4,3.5,0.692,0.9,3.1,4,1.7,1.4,0.2,2.1,2.7,
Jalen Sullinger,KENT,SG,34,34.3,15.4,5.4,12.7,0.424,2.4,6.2,0.392,2.2,2.6,0.852,0.6,2,2.6,2.4,1,0.1,2.1,2.1,
Leland Walker,EKU,SG,31,28.4,15.4,5.3,12.3,0.433,1.2,3.6,0.342,3.5,4.2,0.832,0.6,2.1,2.7,4.1,1.1,0.2,2.5,2.2,
Zarique Nutter,NIU,SG,22,34.2,15.4,5.9,12.5,0.474,0.5,1.9,0.293,3,4.7,0.641,1.2,4.5,5.7,2,0.8,0.4,2.5,2,
Tyler Kolek,MARQ,SG,31,33,15.3,5.6,11.3,0.496,1.5,3.9,0.388,2.6,3,0.851,0.7,4.2,4.9,7.7,1.6,0.2,2.9,1,
Chris Youngblood,USOFL,SG,33,30,15.3,4.8,10.6,0.458,2.1,5,0.416,3.5,4.2,0.829,0.9,1.6,2.5,2.1,0.6,0.6,1.4,2.6,
Tyler Whitney-Sidney,LEHI,SG,32,28.8,15.2,5.3,11.1,0.475,1.2,3.7,0.319,3.5,4.8,0.721,0.3,3.2,3.5,2,1,0,2.1,1.4,
Javon Small,OKST,SG,31,33.1,15.1,4.8,10.9,0.441,2,5.3,0.374,3.5,4.1,0.866,0.4,4.4,4.7,4.1,1,0.3,3.1,1.7,
Jordan Wright,LSU,SG,33,31.8,15.1,4.5,11.6,0.385,1.6,4.7,0.335,4.6,5.6,0.821,1.3,3.8,5.2,2.5,1.7,0.3,2.2,2.6,
Tristen Newton,UConn,SG,40,33.3,15.1,4.6,11,0.415,1.8,5.5,0.321,4.2,5.2,0.808,1.4,5.2,6.6,6.2,0.9,0.3,2.5,1.8,
Joe French,UAPB,SG,31,32.7,15.1,4.8,12.6,0.385,3.5,8.7,0.405,1.9,2.3,0.829,0.7,2.6,3.3,1.1,0.9,0.1,1.5,1.6,
Christyon Eugene,TROY,SG,32,30.5,15.1,4.9,10.4,0.47,2,4.8,0.428,3.2,3.8,0.851,0.9,3.6,4.4,3.2,1.2,0.2,2.3,1.5,
Tae Hardy,UTEP,SG,34,32.9,15,5.2,12.6,0.414,2,5.4,0.374,2.6,3.6,0.71,0.6,2.3,2.9,2.5,1.7,0.2,1.9,2.5,
Kevon Voyles,MARSH,SG,33,29.2,15,5.8,13.8,0.419,1.8,5.5,0.337,1.5,2.1,0.729,1.1,2.5,3.6,2,1.8,0.1,1.7,2.4,
Daniss Jenkins,STJ,SG,33,30.7,14.9,5.8,12.9,0.446,1.7,4.8,0.354,1.7,2,0.851,0.9,2.6,3.5,5.4,1.6,0.5,2.4,2.4,
Rasheed Bello,IPFW,SG,36,32.4,14.9,5.5,12.1,0.455,1.4,3.9,0.348,2.6,3.3,0.773,0.5,2.4,2.9,4.3,1.9,0.3,2.6,1.9,
DaQuan Smith,RADF,SG,32,32.1,14.8,5.3,13.1,0.403,2,5.8,0.351,2.2,2.6,0.855,0.3,2.6,2.8,2,1,0.3,1.4,1.8,
Javontae Hopkins,PVAMU,SG,28,32.4,14.8,5.1,12,0.426,0.4,1.6,0.267,4.1,6.6,0.622,1.9,2.6,4.5,1.9,1.1,0.4,2.5,2,
Houston Mallette,PEPP,SG,31,31.4,14.7,4.9,11.4,0.431,2.1,5.1,0.415,2.7,3.4,0.817,0.4,2.8,3.2,2.4,0.8,0.2,1.4,2.1,
Joe Octave,HC,SG,31,30.5,14.6,4.9,11.5,0.43,1.2,4,0.293,3.6,5,0.721,1.5,4.5,6,1.9,0.6,0.2,1.8,2.2,
Cam Carter,KSU,SG,34,35.4,14.6,4.9,12.6,0.391,1.7,5.6,0.309,2.9,3.5,0.84,1.1,3.9,5,2.6,1.4,0.5,3,2.6,
Connor Hickman,BRDLY,SG,31,32.3,14.5,5.3,11.3,0.467,2.4,5.9,0.402,1.5,2.2,0.701,0.4,3,3.4,2.9,1.2,0.2,1.9,1.4,
Treysen Eaglestaff,UND,SG,32,28.6,14.4,5,11.5,0.434,2.5,6.5,0.383,1.9,2.3,0.811,0.6,1.7,2.3,1.5,0.7,0.4,1.8,1.4,
Cam Spencer,UConn,SG,40,32.8,14.3,4.9,10.1,0.484,2.5,5.6,0.44,2.1,2.3,0.911,1.1,3.8,4.9,3.6,1.5,0.3,1,2.2,
David Early,TNTCH,SG,17,32.2,14.3,5,10.9,0.457,1.8,4.9,0.369,2.5,3,0.824,0.1,2.4,2.5,1.2,1.2,0.1,1.5,1.7,
Dominick Harris,LOYMR,SG,24,28.5,14.3,4.7,10.9,0.429,2.7,6,0.448,2.3,2.9,0.783,0.6,2.7,3.3,1,0.5,0.1,1.9,2.3,
Jlynn Counter,IUI,SG,29,30.5,14.3,5.2,11.5,0.449,0.9,2.7,0.325,3.1,4,0.767,0.6,3.3,3.9,3,1.5,0.2,3.4,2,
A'lahn Sumler,CHASO,SG,29,29.6,14.2,5.1,12.8,0.401,2,6.1,0.326,2,2.7,0.722,0.6,2.5,3.1,1.7,0.9,0.3,1.6,1.9,
Trae Broadnax,USCU,SG,30,31.5,14.2,5.3,11.4,0.465,1,3,0.337,2.6,3.6,0.716,0.5,3.7,4.2,3.5,1,0.2,2.3,2.7,
Wynston Tabbs,MORST,SG,25,25.1,14.2,4.8,12.2,0.395,1.8,5.2,0.341,2.8,3.2,0.888,0.5,2.5,3,1.8,1.1,0.2,2.8,2.3,
"Jamal Mashburn, Jr.",UNM,SG,28,29.6,14.1,4.6,12.7,0.36,1.4,4.5,0.317,3.6,4.2,0.847,0.3,1.9,2.1,1.5,0.4,0.1,1.3,1.1,
Jaden House,URI,SG,32,28.1,14.1,4.9,10.9,0.451,1.3,4,0.331,2.9,4.3,0.674,0.5,2.7,3.2,1.4,0.7,0.3,2.1,2.6,
Atin Wright,DRAKE,SG,35,30.8,14.1,4.8,10.5,0.458,1.9,4.6,0.406,2.6,3.1,0.818,0.6,1.7,2.3,1.9,1.1,0.1,1.2,1.9,
Ja'Darius Harris,NCCU,SG,26,29.3,14.1,4.6,10.2,0.451,1.1,3.2,0.337,3.8,4.5,0.831,0.8,2.5,3.3,1.9,0.9,0,2,1.6,
K.J. Johnson,UNA,SG,29,28.3,14.1,4.2,9.6,0.434,0.9,2.8,0.325,4.8,6.2,0.773,0.4,2.3,2.7,2.1,0.3,0.1,1.3,1.6,
Seth Hubbard,WMY,SG,31,30.9,14.1,4.8,13.2,0.368,2.2,6.9,0.321,2.2,2.7,0.798,0.8,2.6,3.4,1.6,1.1,0.3,1.4,2,
Akuel Kot,UWYOM,SG,32,34,14,4.8,11.2,0.433,1.9,5,0.379,2.4,2.8,0.867,0.3,2.3,2.5,2,0.6,0.2,2.3,1.6,
Miguel Tomley,IDHST,SG,34,31.4,14,4.9,11.5,0.425,2.5,6.5,0.383,1.8,2.3,0.779,0.3,2.7,3,1.9,0.8,0.1,1.5,1.3,
Dhashon Dyson,BTHCK,SG,34,33.1,14,4.9,14.1,0.349,1.8,5.2,0.345,2.4,3.1,0.748,1,2.6,3.5,1.9,1.7,0,1.9,1.9,
Jeremy Roach,DUKE,SG,35,32.7,14,4.7,10.1,0.468,1.5,3.6,0.429,2.9,3.5,0.844,0.6,1.9,2.5,3.3,1.1,0.1,1.4,2.1,
Nolan Hickman,ZAGS,SG,35,35.4,14,5.1,10.9,0.471,2.2,5.4,0.413,1.5,1.7,0.883,0.2,2.1,2.3,2.7,1,0.3,1.3,1.4,
Dailin Smith,AAMU,SG,22,24.4,14,3.9,8.5,0.457,0.8,2.3,0.333,5.5,6.9,0.789,1,2.3,3.3,0.9,1.2,0.3,1.3,2.6,
Tahlik Chavez,LATCH,SG,31,30.8,13.9,4.2,9.7,0.427,2.6,6.4,0.404,3,3.9,0.777,0.5,2.5,2.9,1.3,0.9,0,1.2,1.4,
Jhamir Brickus,LASAL,SG,33,36.6,13.9,4.8,11,0.433,1.8,4.5,0.4,2.5,3,0.857,0.7,2.8,3.5,4.8,1.2,0.1,2.1,2.1,
Bub Carrington,PITT,SG,33,33.2,13.8,4.8,11.7,0.412,2,6.1,0.322,2.2,2.8,0.785,0.5,4.7,5.2,4.1,0.6,0.2,1.9,2.4,
Zion Young,SUU,SG,31,29.5,13.8,4.2,10.8,0.384,1.9,5.6,0.331,3.6,4.6,0.778,0.6,2.9,3.5,0.7,0.6,0.1,1.1,2.4,
Shaquil Bender,MAN,SG,25,31.8,13.8,5.2,13.6,0.381,1.9,5.5,0.341,1.5,1.8,0.804,0.8,2.5,3.2,1.6,1.2,0.2,2.5,2.1,
