Player,Team,Position,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
Jamison Battle,OSU,PF,35,31.3,15.3,5.1,10.9,0.469,2.6,6,0.433,2.5,2.7,0.926,1.2,4,5.2,1.4,0.4,0.2,1.6,2,
Isaac Jones,WSU,PF,35,31.8,15.3,5.7,9.9,0.575,0,0.4,0.071,3.9,5.5,0.712,2.3,5.3,7.6,1.5,0.5,1.1,1.9,2,
Kaiyem Cleary,MOYNE,PF,30,28.1,15.3,5.3,11.9,0.445,1.7,4.9,0.349,3,3.6,0.832,1.2,5.3,6.5,1.2,1,0.7,2.1,2.4,
Matt Cross,UMass,PF,28,30.1,15.3,5.3,9.9,0.54,0.9,2.8,0.329,3.7,4.6,0.798,2.5,5.8,8.3,3,1.5,0.3,2.4,2.1,
Kenan Blackshear,UNR,PF,32,30.6,15.1,5.6,11.2,0.499,0.2,0.9,0.179,3.8,5.8,0.649,0.8,4,4.8,5,1.4,0.5,2.8,2.6,
Dre Davis,SETON,PF,37,33,15,5.6,11.4,0.492,0.9,2.7,0.35,2.8,3.4,0.84,1.8,4.2,5.9,1.6,0.9,1.3,1.5,2.3,
Kimani Hamilton,HP,PF,36,31.4,14.9,5,10.6,0.469,0.9,3.1,0.282,4.1,5.1,0.798,2.9,4.3,7.2,2.3,1.2,0.7,1.6,2.7,
Pierre Brooks II,BTLR,PF,33,32.9,14.8,5.5,12,0.456,2.4,6,0.406,1.4,2,0.692,0.6,3.3,4,1.1,0.5,0.2,1.5,1.1,
Jaden Seymour,ETSU,PF,35,31,14.7,4.9,11,0.44,1.3,4.3,0.295,3.7,5.2,0.714,1.6,4.6,6.1,1.3,1.2,0.6,2.2,2.9,
Ben Humrichous,UE,PF,24,29.5,14.7,5.1,10.6,0.484,2.2,5.3,0.414,2.2,2.9,0.757,1,3.8,4.7,1.9,0.7,0.9,1.2,1.2,
Brooks Barnhizer,NWU,PF,34,36.7,14.6,5.1,11.9,0.429,1.2,3.4,0.348,3.3,4.3,0.766,1.3,6.2,7.5,2.6,1.8,0.8,1.5,1.9,
Armando Bacot,UNC,PF,37,30.4,14.5,5.2,9.7,0.54,0.1,0.3,0.4,3.9,5.1,0.781,3.2,7.1,10.3,1.5,0.6,1.5,1.6,2.7,
Marquis Barnett,PRSBY,PF,31,30.7,14.5,5.1,10.3,0.498,0.8,3.1,0.263,3.5,5,0.695,1.3,3.1,4.5,2.5,1.9,0.9,2.3,2.5,
Lucas Taylor,GAST,PF,31,30.7,14.5,5.5,13.4,0.407,2.1,5.8,0.354,1.5,2,0.787,0.3,2.7,3,1.8,0.6,0.3,1.7,3,
Ja'Kobe Walter,BAYL,PF,35,32.3,14.5,4.1,10.9,0.376,2.1,6.3,0.341,4.1,5.2,0.792,1.3,3.1,4.4,1.4,1.1,0.2,1.3,2.1,
Brayden Parker,IDHST,PF,34,30.4,14.5,5.5,10.4,0.527,1.3,3.9,0.333,2.2,3.3,0.664,1.8,4,5.8,1.4,1.1,1.4,1.7,2.8,
Tucker Anderson,UCA,PF,31,30.9,14.5,4.8,11.5,0.415,2.4,6.4,0.381,2.5,3.1,0.813,0.8,2.9,3.7,1.5,0.9,0.5,1.2,2.4,
Ziggy Reid,YSU,PF,31,28.7,14.5,5,10.9,0.456,1.5,4,0.366,3.1,3.7,0.819,1.8,3.1,4.9,1.9,0.5,0.5,1.5,2.4,
Markeese Hastings,RMU,PF,31,30.7,14.4,5.5,10.6,0.515,0.8,2,0.387,2.7,3.6,0.735,2.9,5,7.8,1.7,0.8,0.7,2.5,2.4,
Obinna Anochili,MARSH,PF,30,30.5,14.4,4.9,11,0.444,1,3.1,0.326,3.7,5.5,0.667,1.5,4.4,5.9,1.6,1,1,1.6,2.9,
Tyler Bilodeau,ORST,PF,32,29.8,14.3,5.3,10,0.533,0.9,2.7,0.345,2.7,3.4,0.798,0.9,4.8,5.7,1.2,0.6,0.4,1.5,2.9,
Jonathan Mogbo,SANFR,PF,34,28.9,14.2,6.1,9.5,0.636,0,0.1,0,2.1,3.1,0.692,3.3,6.8,10.1,3.6,1.6,0.8,1.8,2.6,
Bash Wieland,BELL,PF,23,31.9,14.2,5.7,10.9,0.518,0.5,2,0.239,2.4,3,0.812,1.3,4,5.3,2.2,0.8,0.1,1.1,2.3,
Jax Robinson,BYU,PF,33,26.4,14.2,5,11.7,0.426,2.5,6.9,0.354,1.8,2,0.908,0.4,2.1,2.5,1.3,0.7,0.4,1.5,1.8,
Quinton Mincey,UML,PF,32,27.1,14.1,4.5,9.1,0.493,1.4,3.9,0.349,3.7,4.8,0.761,1.2,5.4,6.6,1,0.7,0.6,1.3,1.1,
Will Thomas,MORST,PF,30,28.1,14,5.4,11.4,0.471,0.4,2,0.203,2.9,3.4,0.853,0.8,3.2,4,1.9,1,0.5,1.9,2.3,
Gabe Dorsey,W&M,PF,33,31.8,14,4.2,10.7,0.387,3.4,9.4,0.365,2.3,2.6,0.894,0.3,2.7,3,0.7,0.6,0.1,0.8,2.1,
Tyrese Samuel,FLA,PF,36,26.9,13.9,5.5,9.8,0.564,0.1,0.7,0.16,2.8,4.9,0.562,2.8,4.6,7.4,1.9,1.1,1.1,1.7,2.5,
Aniwaniwa Tait-Jones,UCSD,PF,33,29.6,13.8,4.8,8.5,0.561,0.3,0.8,0.346,4,5.5,0.731,1.4,4.5,5.8,2.9,1.1,0.3,2.2,2.2,
Keith Lamar,FAMU,PF,27,27.9,13.8,4.8,10.5,0.459,1.6,3.7,0.424,2.6,3.5,0.755,1.1,4.1,5.3,1.4,1.2,0.4,1.9,2.4,
Ben Krikke,IOWA,PF,34,28.5,13.8,5.5,10,0.547,0.2,0.5,0.333,2.7,3.6,0.74,1.7,3.1,4.8,1.4,0.9,0.3,1.1,2.4,
VonCameron Davis,KENT,PF,33,29.2,13.8,5.3,10.9,0.485,1,2.9,0.33,2.3,3,0.75,1.5,3.5,5.1,1.4,1,0.2,1.5,3.1,
Yaxel Lendeborg,UAB,PF,35,30.1,13.8,4.5,8.7,0.513,0.3,1,0.333,4.5,5.6,0.8,3.2,7.4,10.6,2.1,0.7,2.1,2,2.8,
Xavier Amos,NIU,PF,25,30.9,13.8,5.2,10.4,0.496,1.6,4.2,0.385,1.8,2.8,0.648,1.4,4.4,5.8,1.2,0.8,1.3,2.3,2.8,
A.J. Smith,USI,PF,31,30.1,13.7,4.5,10.8,0.413,1,3.5,0.275,3.9,4.9,0.789,2.2,6.6,8.8,1.4,1.1,0.6,2.2,2.9,
Matthew Cleveland,UMFL,PF,29,33.3,13.7,5.3,10.9,0.489,1,2.9,0.357,2,2.5,0.795,1.7,4.4,6.1,1.7,1.3,0.4,1.9,1.3,
B.J. Mack,SOCAR,PF,34,24.8,13.6,4.5,10.8,0.414,1.5,4.6,0.321,3.2,4,0.801,1.1,3.6,4.7,1.3,0.3,0.5,1.3,2.2,
Chris Doherty,NEU,PF,31,28.9,13.6,5.4,10.4,0.522,0.5,2.2,0.235,2.3,3.1,0.737,2.1,4.6,6.7,2.3,0.5,0.8,2.8,2.5,
Jayson Kent,INDST,PF,38,30.4,13.5,4.9,7.7,0.639,0.8,2.2,0.366,2.8,3.4,0.837,2.1,6.1,8.1,0.6,0.7,0.5,1.1,2.6,
Brian Goracke,MTSTU,PF,35,30.5,13.5,4.4,10.1,0.436,2,5.4,0.365,2.7,3.2,0.865,1.2,3.1,4.3,0.8,0.6,0.5,1.6,3.2,
Nate Heise,UNI,PF,32,32.9,13.5,4.7,10.1,0.463,1.5,4.1,0.356,2.7,3.7,0.729,0.7,5.4,6.1,2.4,0.9,0.6,1.6,1.7,
Andrew Carr,WF,PF,35,32.5,13.5,4.7,8.9,0.526,1,2.8,0.371,3.1,3.9,0.781,1.8,5,6.8,1.5,0.5,1.5,1.2,2.6,
Davon Barnes,SHSU,PF,33,31,13.5,4.5,10.7,0.421,1.8,4.6,0.391,2.6,3.2,0.837,0.5,3.1,3.5,1.6,0.7,0.2,1.8,1.9,
Anthony Roberts,IPFW,PF,36,32.2,13.4,5.1,11.1,0.458,1,3.3,0.308,2.2,2.8,0.808,1.1,4.7,5.8,1.6,1.7,0.7,2,1.8,
"Jamal West, Jr.",NICH,PF,34,32.6,13.4,4.6,9.1,0.503,0.1,0.8,0.185,4.1,6,0.691,2.1,5.4,7.4,2.1,0.6,1.6,3.1,3.3,
John Poulakidas,YALE,PF,33,31.1,13.4,4.7,10.5,0.447,2.5,6.2,0.405,1.5,1.9,0.766,0.6,1.8,2.3,1.9,0.5,0.4,0.9,1.7,
David Skogman,DAV,PF,17,24.8,13.3,4.7,8.5,0.556,1.9,4,0.471,2,2.9,0.68,1.6,3.3,4.9,0.8,0.3,0.1,1.2,1.9,
Rashaun Agee,BGSU,PF,33,27.5,13.3,4.8,8.4,0.57,0.1,0.4,0.231,3.6,5.3,0.68,3.8,6.1,9.9,1.6,0.9,0.8,2.2,2.8,
Daniel Rivera,BRYNT,PF,33,31.5,13.3,5.6,11.1,0.503,0.1,0.8,0.107,2,4.3,0.469,1.7,6.4,8.1,2.2,1,2.2,1.8,2.8,
Alex Karaban,UConn,PF,39,31.3,13.3,4.9,9.9,0.495,2.1,5.5,0.379,1.4,1.6,0.885,1.4,3.6,5.1,1.5,0.9,0.8,0.8,1.7,
Alex Williams,FRMN,PF,25,26.9,13.2,4.6,10.4,0.438,2.4,5.9,0.399,1.8,2.3,0.759,1.1,3.6,4.8,1,0.7,0,1.7,2.1,
Elijah Buchanan,NJIT,PF,22,31.3,13.2,5,13.3,0.379,1.1,4.3,0.255,2,3.2,0.643,1.5,4.3,5.8,1.8,1.5,0.5,1.6,2.6,
Parker Bjorklund,STTOM,PF,33,24.8,13.2,5,10.7,0.472,1.1,3.5,0.316,2.1,2.8,0.731,1.2,3.5,4.6,1.2,0.8,0.2,1.2,1.8,
Garry Clark,TAMU-CC,PF,33,26.8,13.2,5.5,10.4,0.532,0.5,1.7,0.263,1.7,2.6,0.644,2.9,5.2,8.1,1,1.1,0.5,1.5,2.6,
Justin Winston,COPST,PF,25,25.8,13.2,4.6,11.5,0.399,1.1,3.6,0.303,2.9,3.3,0.867,1.3,4,5.3,0.7,1.1,0.5,2.6,2.5,
A.J. McGinnis,LIP,PF,32,30,13.2,4.8,10.3,0.461,2.4,6.1,0.397,1.3,1.5,0.833,0.3,1.9,2.3,0.9,0.5,0.2,1.3,1.6,
Joel Scott,COLST,PF,36,28.2,13.1,4.7,8.3,0.569,0.3,1.3,0.25,3.4,5,0.672,1.9,4.3,6.1,1.4,0.8,0.9,0.9,2.4,
Terry Anderson,LAMAR,PF,33,28.3,13.1,4.4,8.9,0.495,0.9,2.9,0.302,3.3,4.5,0.743,2,4.5,6.5,2.7,1.2,0.7,2,2.5,
Brandon Walker,MTSTU,PF,35,19.5,13.1,5.3,9.5,0.563,0.4,1.2,0.31,2,3.5,0.579,0.6,3.4,4,1.1,0.5,0.2,1.8,2.1,
Noah Thomasson,UGA,PF,37,28.3,13.1,4.8,11.7,0.409,2.2,6.3,0.345,1.3,2.2,0.598,0.4,2.4,2.8,1.6,0.7,0.1,0.8,1,
Brandon Angel,STAN,PF,30,31.3,13,4.5,8,0.567,1.1,2.5,0.447,2.8,3.4,0.816,0.7,4,4.7,1.7,0.6,0.3,1.7,2,
Amarri Monroe,QUIN,PF,34,27.6,12.9,4.4,9.2,0.473,1.1,3.3,0.351,3.1,3.9,0.784,1.7,5.2,6.9,0.9,1.8,1,1.8,2.5,
Jaemyn Brakefield,MISS,PF,32,29.3,12.9,4.2,8.8,0.477,1.2,3.3,0.362,3.3,4.3,0.765,1.5,3.5,4.9,2.4,0.8,0.5,1.6,2,
Zach Anderson,FGCU,PF,32,31.7,12.8,4.7,9.8,0.482,1.6,3.5,0.459,1.8,2.6,0.69,1.1,4,5.1,1.9,0.7,0.5,1.8,1.3,
Dontrez Styles,GTOWN,PF,32,33.6,12.8,4.3,10.1,0.43,1.5,4.2,0.368,2.6,3.3,0.776,2.2,3.5,5.8,0.8,0.6,0.7,1.5,2.6,
"Igor Milicic, Jr.",CHAR,PF,31,32.2,12.8,4.2,8.6,0.487,1.8,4.8,0.376,2.6,3.2,0.818,1.5,7,8.5,1.7,0.7,1.1,2,2.5,
Tre'von Spillers,APPST,PF,34,29.1,12.8,5.5,9.1,0.604,0,0,0,1.9,2.7,0.685,3,5.8,8.9,0.4,0.7,1.3,0.8,1.4,
Gabe McGlothan,GCU,PF,34,33,12.8,4.2,8.8,0.477,1.4,3.6,0.398,3,3.9,0.767,2.1,5.2,7.3,1.1,1.3,0.9,1.6,2.8,
Donovan Clay,MZZST,PF,33,33.1,12.8,4.6,10.5,0.442,0.8,2.6,0.326,2.7,3.9,0.688,1.3,4.6,5.9,2.4,0.7,0.9,2,2.5,
Christian Brown,TNST,PF,28,25.2,12.8,3.9,8.9,0.444,1.6,4.4,0.363,3.3,4.1,0.807,1.3,2.1,3.4,0.7,1.1,0.3,1.6,2.2,
Abdoulaye Thiam,HP,PF,36,27.6,12.7,4.3,9.9,0.433,1.7,4.6,0.361,2.4,2.9,0.83,0.8,2.7,3.4,0.9,0.6,0,1.5,1.8,
Malik Hall,MCHST,PF,35,28.7,12.7,4.7,9,0.525,0.6,1.7,0.328,2.6,3.6,0.728,1.7,4,5.7,1.9,0.5,0.3,1.4,2.3,
K.J. Adams,KU,PF,34,33.4,12.6,5.2,8.7,0.601,0,0.1,0,2.1,3.5,0.6,1.5,3.1,4.6,3.1,1.1,0.6,1.8,2.4,
Max Brooks,UML,PF,31,26.4,12.6,5.2,8.4,0.621,0,0.1,0,2.1,3.3,0.653,2.3,5,7.3,1.6,0.8,2.1,1.7,2.7,
Mike James,LVILL,PF,32,33.3,12.6,3.8,9.5,0.396,1.1,3.3,0.34,3.9,4.8,0.818,1,4,5,1.5,0.6,0.2,1.8,2.5,
Philip Alston,L-IL,PF,29,24.3,12.6,4.5,9.9,0.451,0.6,2.3,0.25,3,4.7,0.635,1.6,3,4.6,0.8,0.6,0.7,2,2.6,
Jordan O'Neal,JKSN,PF,30,29.2,12.5,5.1,8.4,0.606,0.2,0.6,0.368,2.2,3.3,0.657,2.5,3.6,6,1.1,0.6,1.4,1.5,3,
Max Zegarowski,STONE,PF,30,34.6,12.5,4.3,10.4,0.418,2,5.7,0.345,1.9,2.4,0.778,0.8,4,4.8,1.8,0.4,0.3,1.3,0.8,
Maximus Edwards,GW,PF,31,28.1,12.4,4.5,10.6,0.427,1.7,4.8,0.358,1.7,1.9,0.867,1.3,5.4,6.6,1.2,0.7,0.4,2.2,1.8,
Jaylin Williams,AUB,PF,34,24.2,12.4,4.5,7.8,0.574,1,2.5,0.395,2.5,3,0.832,1.1,3.4,4.4,1.9,0.7,0.7,1.1,1.8,
Justin McKoy,HAW,PF,34,30.9,12.4,4.1,8.6,0.474,1.4,3.9,0.368,2.8,3.2,0.872,1.1,4.9,6.1,1.6,0.6,0.5,1.9,2.2,
K.J. Doucet,WIN,PF,32,23.9,12.4,4,9.1,0.443,1.6,4.5,0.354,2.8,3.8,0.715,1.2,3.1,4.3,1.4,0.6,0.3,2,3,
Elias King,MTSU,PF,33,32.4,12.4,4.4,10.9,0.401,2,6.1,0.327,1.7,2.4,0.696,0.9,3.6,4.5,0.9,0.7,0.6,1.7,1.7,
Nika Metskhvarishvili,ULM,PF,28,28.5,12.3,4.6,10.9,0.425,0.9,3.6,0.257,2.1,3.1,0.678,2.4,3.4,5.8,2,1,0.6,2.5,2,
Marquel Sutton,OMAHA,PF,33,31.8,12.3,4.9,10.1,0.485,0.4,1.5,0.286,2.1,3.4,0.625,2.2,4.2,6.3,0.8,0.9,0.3,1.8,2.3,
Alex Sobel,HEART,PF,31,26,12.3,4.8,8.2,0.588,0,0,0,2.6,3.9,0.675,2.8,4.6,7.4,1.7,1.2,2.8,1.3,3.2,
Bostyn Holt,SODAK,PF,32,31.2,12.3,4.5,9.9,0.45,0.6,1.4,0.391,2.8,4.1,0.679,0.9,3.7,4.5,3.1,0.5,0.2,2.1,1.8,
Quinn Slazinski,WVU,PF,32,28.9,12.3,3.9,9.8,0.398,1.4,4.2,0.343,3,3.8,0.802,0.8,3.3,4.1,2.2,0.4,0.2,1.9,1.8,
Tommie Lewis,TAMUC,PF,30,29.5,12.2,4,9.7,0.411,2,5.9,0.345,2.2,3,0.733,0.7,3.5,4.2,2.3,1.7,0.6,1.8,2.7,
Mason Walters,UWYOM,PF,22,32.7,12.2,4.2,9.8,0.433,0.4,2,0.182,3.4,4.2,0.815,1.6,3.8,5.4,2,1,0.3,2.3,3.1,
Amari Kelly,GMU,PF,31,28.5,12.2,4.5,8.2,0.549,0.8,1.9,0.424,2.4,3.1,0.76,2.2,4.1,6.3,1.1,0.5,1.3,2.3,3.1,
Christian Shumate,MCNST,PF,34,29.1,12.1,4.9,8.7,0.561,0.3,1.1,0.231,2.1,4.6,0.465,3.6,5.9,9.5,0.9,0.9,1.4,1.4,2.6,
Airion Simmons,ACU,PF,33,25,12.1,4.3,10.2,0.417,0.6,2.2,0.284,2.9,4.4,0.669,1.5,4.8,6.3,2.2,1.2,0.5,1.9,3.2,
Ante Brzovic,C of C,PF,35,22.7,12.1,4.9,10.4,0.467,0.5,2.2,0.221,1.9,2.9,0.653,1.5,4.7,6.3,2.4,0.4,0.4,1.7,2,
Duncan Powell,CSUS,PF,29,26.4,12.1,4.5,9.1,0.492,0.5,1.7,0.286,2.6,3.8,0.685,2.8,4.2,7,2,0.5,0.3,1.7,1.9,
Frank Mitchell,CAN,PF,31,28.9,12.1,5.2,9.3,0.561,0.1,0.3,0.333,1.6,3.7,0.43,4.1,7.5,11.6,1.5,0.7,0.9,2,2.8,
Ja'Monta Black,APSU,PF,35,35.7,12,3.8,9.4,0.404,3.2,8.2,0.395,1.2,1.6,0.75,0.4,3.2,3.6,0.8,1.1,0.1,0.5,1.8,
Josh Scovens,USMA,PF,32,30.9,12,4.4,10.9,0.4,1.4,4.3,0.321,1.9,2.8,0.667,1.3,4.1,5.4,1.9,0.7,1.1,1.8,2.2,
Chris Bell,SYRA,PF,32,27,12,4.2,9.7,0.434,2.6,6.3,0.42,1,1.2,0.842,0.2,2.2,2.3,0.7,0.6,0.7,0.8,1.8,
A.J. Braun,WRST,PF,32,25.7,12,5.1,7.4,0.689,0,0,0,1.7,2.9,0.598,2.3,4,6.2,0.9,0.3,1.1,1.7,2.3,
Rob Perry,MRRY,PF,32,30.3,11.9,4.5,11.3,0.399,1.3,4.6,0.295,1.6,2.1,0.735,0.8,4.3,5.1,2,1,0.3,1.3,1.6,
Moses Wood,UWASH,PF,32,32.5,11.9,3.8,9.1,0.421,2.5,6.3,0.396,1.7,1.9,0.871,0.8,3.7,4.5,0.8,0.6,0.6,0.9,2.3,
Zach Cleveland,LBRTY,PF,32,28.8,11.8,4.7,7.9,0.593,0,0.3,0.125,2.4,4.5,0.542,1.7,4.6,6.3,4,0.9,1.2,2.8,2.1,
Kellen Amos,CCSU,PF,31,31.3,11.8,4,10.4,0.387,1.5,5.4,0.275,2.3,3.1,0.747,0.6,4.5,5.2,2.3,1.1,1.1,1.9,2,
"Mickey Pearson, Jr.",BLLST,PF,30,33.5,11.8,3.6,8.3,0.43,1.4,3.9,0.359,3.3,3.9,0.853,1.3,3.6,4.9,0.8,0.5,0.3,1,1.4,
Seydou Traore,MAN,PF,28,32.4,11.8,4.7,10.9,0.433,0.8,3.2,0.256,1.6,2,0.8,1.7,6.5,8.2,2.3,1.5,1.3,1.8,2.4,
Freddy Hicks,ARKST,PF,28,25.5,11.8,3.8,9.1,0.418,0.6,2.4,0.254,3.5,4.8,0.733,2.3,3.1,5.4,2.1,0.8,0.6,2,2.6,
Simas Lukosius,CINCY,PF,35,30.1,11.8,3.9,9.8,0.392,2.6,6.7,0.385,1.5,1.8,0.825,0.5,2.6,3.1,2.9,0.5,0.2,2,1.1,
Nate Santos,DAY,PF,33,33.6,11.7,3.9,8.3,0.471,1.5,3.7,0.418,2.4,3.2,0.75,1.5,4.8,6.3,1.5,0.7,0.2,1.4,2.4,
Brock Wisne,NOCOL,PF,33,26.8,11.7,4.8,7.8,0.616,0.2,0.7,0.333,1.8,2.5,0.744,1.7,2.6,4.3,1.5,0.7,0.3,1.5,3,
Trey Robinson,NKU,PF,33,31.3,11.7,4.3,9.7,0.439,0.6,2.5,0.229,2.5,3.8,0.672,2.1,4.9,7,1.9,1.8,0.3,1.9,2.2,
Luke Appel,SDKSU,PF,35,26.2,11.7,4.6,8.8,0.521,0.5,1.2,0.419,1.9,3.1,0.624,0.8,3.7,4.5,1.6,0.3,0.1,2,2.5,
Devon Ellis,UMES,PF,26,26.7,11.6,4.5,9,0.498,0.2,0.8,0.25,2.5,3.5,0.696,1.2,3.2,4.4,0.7,0.7,0.4,1.7,1.3,
"Mark Mitchell, Jr.",DUKE,PF,33,28.6,11.6,4.1,7.6,0.54,0.3,1.2,0.275,3,4.8,0.623,2.2,3.7,5.9,1.1,0.8,0.7,1.2,1.6,
Keshad Johnson,ARZ,PF,36,27.6,11.5,4.2,7.9,0.53,1,2.6,0.387,2.1,3,0.71,2,3.9,5.9,1.8,1,0.7,1.6,2.1,
Darius Hannah,BRDLY,PF,35,26,11.5,4.9,8,0.612,0,0.2,0.143,1.6,2.5,0.648,2.2,4.1,6.3,1.9,1.3,1.2,2,2.5,
Dominic Parolin,LEHI,PF,28,25.1,11.5,4.3,9.4,0.455,0.9,2.8,0.329,2,2.4,0.809,1.9,4.4,6.3,1.6,0.5,0.7,1.3,2.5,
"Tedrick Wilcox, Jr.",HMPTN,PF,33,30.8,11.4,4,10,0.402,1.6,5.2,0.316,1.7,2,0.864,0.5,3.5,4,1.8,1.2,0.1,2,1.9,
Brian Taylor,CMU,PF,32,35,11.4,4.4,10,0.442,0.7,2.9,0.228,1.9,2.6,0.756,1.9,6.2,8.1,1.5,0.9,1.2,1.4,2.4,
Kalib Boone,UNLV,PF,32,23.2,11.4,4.6,7.8,0.59,0,0,0,2.2,3.2,0.696,2.1,3.1,5.2,1.3,1.1,1.6,1.9,2.8,
Darrion Williams,TXTCH,PF,33,32.7,11.4,4,8,0.494,1.3,2.9,0.458,2.1,2.4,0.875,1.9,5.6,7.5,2.5,1.2,0.3,1.6,2.3,
Michael Imariagbe,HCU,PF,29,28.3,11.4,4.5,8.4,0.531,0.1,0.4,0.182,2.3,4.2,0.557,3.2,5.3,8.5,1,0.6,1,2.3,2.6,
Ezra Ausar,ECAR,PF,32,26.3,11.4,3.6,6.9,0.514,0.2,0.5,0.375,4.1,6.2,0.653,2,2.7,4.7,1,0.8,0.5,2.1,2.7,
Cam Morris III,UML,PF,32,24.4,11.3,4.2,7.4,0.563,0.4,1.1,0.389,2.5,3.8,0.658,2.5,3.8,6.3,0.8,0.6,0.9,1.7,2.7,
Jaden Campbell,SAMF,PF,33,22.9,11.3,3.6,6.8,0.536,1.7,3.5,0.479,2.3,2.8,0.817,0.6,2.7,3.2,1,0.9,0.5,1,1.6,
Michael Christmas,LONG,PF,35,27.3,11.3,3.9,8.9,0.444,1.1,2.8,0.398,2.3,2.9,0.775,1.8,4.3,6.1,0.9,0.5,0.2,1.5,1.5,
Donta Scott,UMD,PF,33,30.2,11.2,3.8,9.2,0.407,1.6,4.8,0.335,2.1,2.6,0.812,1.3,3.4,4.7,1.1,0.7,0.5,1.3,1.9,
Jalon Moore,OKLA,PF,31,25.6,11.2,3.9,7.5,0.517,0.8,2,0.41,2.6,3.5,0.734,2.1,4.6,6.7,0.5,0.6,1,1.6,2.4,
Isaiah Bigelow,RICH,PF,33,26.4,11.2,3.8,8.8,0.438,1.5,3.9,0.372,2,2.5,0.807,0.7,5.7,6.5,0.7,0.9,0.3,0.8,2.5,
Cameron Brown,STJOE,PF,35,32.3,11,4.1,9.8,0.415,2.3,6.4,0.368,0.6,0.8,0.69,1.2,2.9,4.1,1.3,1.1,0.2,0.9,1.9,
Aaron Scott,UNT,PF,34,30.2,11,4,9.6,0.419,1.3,3.5,0.37,1.6,2.1,0.789,1.7,3.9,5.6,1.8,1.1,1.3,1.5,3,
Johnny O'Neil,SCU,PF,33,25.7,11,4.2,9.5,0.435,1.6,4.9,0.325,1.1,1.6,0.66,1.3,4.2,5.5,1.6,0.8,0.8,1.4,2.3,
Noah Carter,MZZOU,PF,32,26.1,11,3.8,9.4,0.401,1.2,4.1,0.288,2.2,2.8,0.798,1,3.8,4.8,1.4,0.8,0.8,1.2,2.5,
Milan Momcilovic,IWAST,PF,37,30.2,10.9,3.9,9.2,0.424,1.6,4.6,0.359,1.5,1.8,0.809,0.4,2.7,3.1,1.2,0.5,0.4,0.8,1.7,
David Joplin,MARQ,PF,37,27.6,10.8,3.8,9.2,0.413,1.9,5.5,0.355,1.3,1.9,0.681,0.7,3.2,3.9,0.6,0.8,0.9,1.2,1.8,
Bo Montgomery,HC,PF,26,31.2,10.8,3.8,9.3,0.411,1.2,3,0.397,2,2.8,0.689,0.8,3.9,4.7,2.7,0.6,0.2,2.7,2.5,
Nate Martin,MARSH,PF,33,31.7,10.8,4.1,7.2,0.574,0,0,0,2.5,3.6,0.697,4.1,6,10.1,2.8,0.7,1.3,1.5,2.6,
Beon Riley,UTECH,PF,24,28.5,10.7,3.7,7.5,0.497,0.5,1.3,0.406,2.7,3.3,0.813,1.7,3.8,5.5,1.8,1,0.1,1.5,3.4,
"Femi Odukale, Jr.",NMSU,PF,26,28.7,10.7,3.8,8.7,0.432,0.5,1.6,0.31,2.6,5.3,0.496,1.8,4.6,6.4,3,1.1,1,2.2,3,
"Rodney Johnson, Jr.",TNTCH,PF,26,26.8,10.7,4.5,9.7,0.458,0.6,2.4,0.258,1.1,1.3,0.829,1.2,3.8,5.1,0.7,0.4,1,1.3,1.6,
Tyler Wahl,UWISC,PF,36,28.4,10.6,4.1,7.6,0.535,0.1,0.4,0.188,2.4,3.7,0.659,1.9,3.5,5.4,1.9,1.1,0.6,1.7,2.6,
Jo'el Emanuel,FDU,PF,32,29.7,10.6,3.3,7.4,0.453,0.4,1.7,0.264,3.5,5.2,0.669,2.5,2.7,5.2,1.8,1,0.2,1.8,2.3,
A.J. George,LBSU,PF,36,28.1,10.6,4,7.6,0.533,0.3,0.9,0.344,2.2,3.1,0.721,1.2,2.9,4.1,1.5,0.7,0.5,1.5,1.3,
Taeshaud Jackson II,VMI,PF,31,29.6,10.6,3.7,8.4,0.446,1,3.1,0.33,2.1,3.3,0.634,2.6,7.7,10.4,1.2,1.3,0.4,2,2.7,
Tahron Allen,WAGNR,PF,32,27.6,10.5,3.8,9.4,0.405,0.8,1.8,0.441,2,2.9,0.707,1.8,3.2,5.1,0.9,0.6,0.2,1.3,2.4,
Nate Lliteras,UNF,PF,31,26.9,10.4,3.8,8.5,0.447,1.6,4.6,0.354,1.2,1.5,0.771,0.9,3.3,4.2,1.2,0.8,0.7,1.3,1.6,
Nehemiah Benson,BNGH,PF,30,22.5,10.4,4.6,7.4,0.614,0.2,0.5,0.333,1.1,1.8,0.604,1.8,2.5,4.3,1.1,0.4,0.2,1,2.6,
Josh Earley,SEMO,PF,28,21.4,10.4,4.8,8.3,0.58,0,0,0,0.8,1.4,0.579,1.6,3.4,5,0.4,0.4,0.3,1.5,1.2,
"Lonnell Martin, Jr.",UAPB,PF,31,29.6,10.4,2.9,7.5,0.384,1.5,4.5,0.338,3.1,3.4,0.914,0.3,3.2,3.5,2.7,0.7,0.2,2,2.2,
Ryan Moffatt,COLGT,PF,34,29.6,10.4,3.6,8.4,0.433,1.9,5.2,0.373,1.2,1.6,0.741,1.1,3.3,4.3,1.7,0.9,0.1,0.6,1.4,
